sample2,,sample3,,sample4,,sample5,,sample7,,sample8,,sample9,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
663.0067749,87.45464325,663.0067749,87.65802765,663.0067749,87.30953217,663.0067749,87.55233765,663.0067749,87.46805573,663.0067749,87.47796631,663.0067749,87.59581757,
661.987854,87.433815,661.987854,87.71748352,661.987854,87.30069733,661.987854,87.42459869,661.987854,87.50393677,661.987854,87.54668427,661.987854,87.44508362,
661.0049438,87.36772919,661.0049438,87.70449829,661.0049438,87.2633667,661.0049438,87.57225037,661.0049438,87.61502838,661.0049438,87.47473145,661.0049438,87.61195374,
659.9853516,87.39022827,659.9853516,87.66927338,659.9853516,87.2710495,659.9853516,87.41279602,659.9853516,87.40855408,659.9853516,87.45511627,659.9853516,87.33233643,
659.0019531,87.34262085,659.0019531,87.53372192,659.0019531,87.17501831,659.0019531,87.46564484,659.0019531,87.46407318,659.0019531,87.39222717,659.0019531,87.50672913,
657.9818115,87.39080048,657.9818115,87.65148926,657.9818115,87.34113312,657.9818115,87.45237732,657.9818115,87.35351563,657.9818115,87.38108826,657.9818115,87.31666565,
656.9976807,87.37028503,656.9976807,87.55167389,656.9976807,87.21138,656.9976807,87.52700806,656.9976807,87.50982666,656.9976807,87.4186554,656.9976807,87.46837616,
656.0134277,87.36383057,656.0134277,87.58886719,656.0134277,87.30699158,656.0134277,87.50862885,656.0134277,87.50034332,656.0134277,87.37062073,656.0134277,87.49826813,
654.9923096,87.38285065,654.9923096,87.597229,654.9923096,87.26584625,654.9923096,87.44133759,654.9923096,87.42409515,654.9923096,87.39589691,654.9923096,87.46873474,
654.0073853,87.39807129,654.0073853,87.61581421,654.0073853,87.26221466,654.0073853,87.52457428,654.0073853,87.55504608,654.0073853,87.39429474,654.0073853,87.52137756,
652.9857178,87.39833069,652.9857178,87.590065,652.9857178,87.20823669,652.9857178,87.35723877,652.9857178,87.34313202,652.9857178,87.40711975,652.9857178,87.33538055,
652.0001831,87.37989044,652.0001831,87.57398987,652.0001831,87.35919952,652.0001831,87.49440002,652.0001831,87.62910461,652.0001831,87.50289917,652.0001831,87.48212433,
651.0144043,87.41148376,651.0144043,87.5981369,651.0144043,87.22438812,651.0144043,87.39038849,651.0144043,87.39518738,651.0144043,87.4240036,651.0144043,87.43777466,
649.9917603,87.3328476,649.9917603,87.51789093,649.9917603,87.18537903,649.9917603,87.42818451,649.9917603,87.45513916,649.9917603,87.45815277,649.9917603,87.47532654,
649.0054321,87.31600189,649.0054321,87.60040283,649.0054321,87.16140747,649.0054321,87.41247559,649.0054321,87.39334869,649.0054321,87.46311951,649.0054321,87.42250824,
647.9822388,87.49832153,647.9822388,87.61737823,647.9822388,87.32357025,647.9822388,87.50058746,647.9822388,87.67300415,647.9822388,87.50408936,647.9822388,87.57160187,
646.9952393,87.27246094,646.9952393,87.50881195,646.9952393,87.19532013,646.9952393,87.3516922,646.9952393,87.3673172,646.9952393,87.30257416,646.9952393,87.33567047,
646.0081177,87.48668671,646.0081177,87.56698608,646.0081177,87.23737335,646.0081177,87.41059875,646.0081177,87.47549438,646.0081177,87.34918976,646.0081177,87.47535706,
644.9839478,87.39470673,644.9839478,87.51296997,644.9839478,87.21737671,644.9839478,87.38464355,644.9839478,87.47624207,644.9839478,87.38696289,644.9839478,87.35301971,
643.9961548,87.46710205,643.9961548,87.533638,643.9961548,87.38467407,643.9961548,87.4467926,643.9961548,87.53592682,643.9961548,87.50107574,643.9961548,87.49328613,
